titre;realisateur;adresse;organisme_demandeur;type_de_tournage;ardt;date_debut;date_fin;xy
04:04:02;SOPHIE LEVY;TERRAIN*ÿ DE FOOT POTERNE DES PEUPLIERS;SOFILMS;SERIE TELEVISEE;75013;05/05/2016;05/05/2016;48.820361, 2.352527
04:04:02;SOPHIE LEVY;PARCÿ DES BUTTES CHAUMONT;SOFILMS;SERIE TELEVISEE;75019;07/05/2016;07/05/2016;48.879186, 2.387537
04:04:02;SOPHIE LEVY;STADE*ÿ DU POLYGONE/BOIS DE VINCENNES;SOFILMS;SERIE TELEVISEE;75012;06/05/2016;06/05/2016;48.834759, 2.430796
10%/SAISON 2;JEANNE HERRY;RUEÿ ET PONT DE CRIMEE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75019;03/10/2016;03/10/2016;48.885821, 2.382394
10%/SAISON 2;JEANNE HERRY;QUAIÿ DE LA SEINE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75019;03/10/2016;03/10/2016;48.886466, 2.373834
10%/SAISON 2;JEANNE HERRY;RUEÿ DE NANTES;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75019;03/10/2016;03/10/2016;48.891991, 2.381936
10%/SAISON 2;JEANNE HERRY;JARDIN*ÿ DU TROCADERO;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;13/10/2016;13/10/2016;48.862548, 2.28222
10%/SAISON 2;JEANNE HERRY;RUEÿ MARTIGNAC;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75007;10/10/2016;10/10/2016;48.857998, 2.31843
10%/SAISON 2;JEANNE HERRY;RUEÿ DAVIOUD;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;13/10/2016;13/10/2016;48.855176, 2.270844
10%/SAISON 2;JEANNE HERRY;PARVISÿ DE LA BASILIQUE SAINTE CLOTILDE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75007;10/10/2016;10/10/2016;
10%/SAISON 2;JEANNE HERRY;AVENUEÿ GEORGES MANDEL;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;15/09/2016;15/09/2016;48.863483, 2.281409
10%/SAISON 2;JEANNE HERRY;RUEÿ PAUL STRAUSS;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75020;30/09/2016;30/09/2016;48.866511, 2.407275
10%/SAISON 2;JEANNE HERRY;BOULEVARDÿ MORTIER;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75020;30/09/2016;30/09/2016;48.86958, 2.408745
10%/SAISON 2;JEANNE HERRY;PLACEÿ DU COLONEL CHANUTE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75020;30/09/2016;30/09/2016;48.866144, 2.406209
10%/SAISON 2;JEANNE HERRY;149ÿ RUEÿ SAINT HONORE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75001;05/09/2016;05/09/2016;48.862012, 2.339698
10%/SAISON 2;JEANNE HERRY;RUEÿ CROIX DES PETITS CHAMPS;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75001;05/09/2016;05/09/2016;48.863996, 2.340163
10%/SAISON 2;JEANNE HERRY;RUEÿ DE RIVOLI/DE CASTIGLIONE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75001;05/09/2016;05/09/2016;48.865778, 2.327951
10%/SAISON 2;JEANNE HERRY;234ÿ RUEÿ DE RIVOLI;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75001;05/09/2016;05/09/2016;48.865375, 2.327206
10%/SAISON 2;JEANNE HERRY;1ÿ PLACEÿ DU TROCADERO;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;15/09/2016;15/09/2016;48.862323, 2.281879
10%/SAISON 2;JEANNE HERRY;AVENUEÿ DU PRESIDENT WILSON;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;15/09/2016;15/09/2016;48.864614, 2.29457
10%/SAISON 2;JEANNE HERRY;PLACEÿ DU TROCADERO ET DU 11 NOVEMBRE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;15/09/2016;15/09/2016;48.862578, 2.287377
10%/SAISON 2;JEANNE HERRY;8ÿ RUEÿ NAVARIN;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75009;06/09/2016;06/09/2016;48.879596, 2.339392
10%/SAISON 2;JEANNE HERRY;RUEÿ HENRI MONNIER;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75009;06/09/2016;06/09/2016;48.880077, 2.33727
10%/SAISON 2;JEANNE HERRY;49ÿ AVENUEÿ RAYMOND POINCARE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;15/09/2016;15/09/2016;48.866777, 2.285901
10%/SAISON 2;JEANNE HERRY;AVENUEÿ KLEBER;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;15/09/2016;15/09/2016;48.868042, 2.29059
10%/SAISON 2;JEANNE HERRY;2ÿ RUEÿ VIVIENNE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75002;19/09/2016;19/09/2016;48.866495, 2.33884
10%/SAISON 2;JEANNE HERRY;47ÿ RUEÿ DE MARTYRS;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75009;29/09/2016;29/09/2016;48.879981, 2.340118
10%/SAISON 2;JEANNE HERRY;RUEÿ CLAVEL;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75009;29/09/2016;29/09/2016;48.879094, 2.338395
10%/SAISON 2;JEANNE HERRY;AVENUEÿ TRUDAINE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75009;06/09/2016;06/09/2016;48.881143, 2.343211
10%/SAISON 2;JEANNE HERRY;RUEÿ MARENGO;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75001;05/09/2016;05/09/2016;48.861861, 2.339391
10%/SAISON 2;JEANNE HERRY;PONTÿ DE LA RUE CRIMEE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75019;16/09/2016;16/09/2016;48.885821, 2.382394
10%/SAISON 2;JEANNE HERRY;PLACEÿ SAINT GEORGES;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75009;29/09/2016;29/09/2016;48.878549, 2.337525
10%/SAISON 2;JEANNE HERRY;RUEÿ IRENEE BLANC;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75020;30/09/2016;30/09/2016;48.86592, 2.407964
10%/SAISON 2;JEANNE HERRY;AVENUEÿ D'EYLAU;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;15/09/2016;15/09/2016;48.864545, 2.284779
10%/SAISON 2;JEANNE HERRY;127ÿ RUEÿ DU FAUBOURG SAINT HONORE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75008;13/09/2016;13/09/2016;48.873274, 2.309406
10%/SAISON 2;JEANNE HERRY;4 ET 25ÿ RUEÿ DE L'ERMITAGE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75020;14/09/2016;14/09/2016;48.870162, 2.391437
10%/SAISON 2;JEANNE HERRY;69/91ÿ RUEÿ DE BELLEVILLE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75019;14/09/2016;14/09/2016;48.873777, 2.384688
10%/SAISON 2;JEANNE HERRY;2/24ÿ RUEÿ SAINT HONORE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75008;12/09/2016;12/09/2016;48.868172, 2.324131
10%/SAISON 2;JEANNE HERRY;RUEÿ GREUZE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;15/09/2016;15/09/2016;48.864048, 2.283344
10%/SAISON 2;JEANNE HERRY;RUEÿ DE RIVOLI;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75001;05/09/2016;05/09/2016;48.861863, 2.338081
10%/SAISON 2;JEANNE HERRY;RUEÿ DES MARTYRS;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75009;06/09/2016;06/09/2016;48.878979, 2.339935
10%/SAISON 2;JEANNE HERRY;RUEÿ SAINT DOMINIQUE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75007;10/10/2016;10/10/2016;48.859804, 2.309217
10%/SAISON 2;JEANNE HERRY;RUEÿ BELLECHASSE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75007;10/10/2016;10/10/2016;48.857446, 2.322191
10%/SAISON 2;JEANNE HERRY;PLACEÿ VAUBAN;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75007;10/10/2016;10/10/2016;48.853056, 2.311754
